Date,Value_BTC
2014-1,878.9999945
2014-2,701.0146714
2014-3,609.6124452
2014-4,476.1495183
2014-5,486.4345787
2014-6,624.061774
2014-7,624.7558842
2014-8,548.2021361
2014-9,456.106375
2014-10,372.9021774
2014-11,375.42195
2014-12,347.7040313
2015-1,264.164591
2015-2,239.2534396
2015-3,274.1858868
2015-4,238.375313
2015-5,239.7850535
2015-6,239.2711983
2015-7,282.7884829
2015-8,257.4113755
2015-9,235.8189737
2015-10,266.1521958
2015-11,360.2046437
2015-12,432.0902245
2016-1,419.4731284
2016-2,406.0721376
2016-3,419.2992897
2016-4,436.0380323
2016-5,463.9747732
2016-6,656.3433643
2016-7,670.7724174
2016-8,587.6014752
2016-9,605.9803317
2016-10,641.6883842
2016-11,731.3605
2016-12,825.3353629
2017-1,936.0687903
2017-2,1070.128411
2017-3,1168.153998
2017-4,1222.111657
2017-5,1929.476505
2017-6,2737.024152
2017-7,2591.564595
2017-8,3947.626369
2017-9,4250.835041
2017-10,5383.887419
2017-11,7951.837708
2017-12,15667.84
2018-1,13598.02484
2018-2,9881.003927
2018-3,9484.413426
2018-4,8143.027874
2018-5,8671.377727
2018-6,6959.542345
2018-7,7197.807445
2018-8,6903.333669
2018-9,6617.61891
2018-10,6578.027384
2018-11,5599.382741
2018-12,3815.840551
2019-1,3727.355394
2019-2,3697.842015
2019-3,3949.102279
2019-4,5199.891406
2019-5,7370.499404
2019-6,9581.541175
2019-7,11122.72202
2019-8,10892.30409
2019-9,10026.48404
2019-10,8567.602279
2019-11,8577.644447
2019-12,7398.638492
2020-1,8412.415492
2020-2,9873.140685
2020-3,7340.889861
2020-4,7300.258113
2020-5,9484.341156
2020-6,9641.139842
2020-7,9616.158715
2020-8,11822.89449
2020-9,10869.41479
2020-10,11925.41904
2020-11,16777.91742
2020-12,22063.24769
2021-1,36048.49346
2021-2,47331.10986
2021-3,55760.86745
2021-4,58547.59935
2021-5,49482.17149
2021-6,37510.08882
