ReportingPeriodType,Year,Period,Rainfallmm,Temp,Date
Monthly,2010,1,69.5,0.8,2010-1
Monthly,2010,2,71.7,1.6,2010-2
Monthly,2010,3,65.1,5.5,2010-3
Monthly,2010,4,21.4,8.2,2010-4
Monthly,2010,5,22.1,9.8,2010-5
Monthly,2010,6,42.7,14.3,2010-6
Monthly,2010,7,61.1,16.4,2010-7
Monthly,2010,8,76.6,14.6,2010-8
Monthly,2010,9,83.9,13.4,2010-9
Monthly,2010,10,65,9.6,2010-10
Monthly,2010,11,118.2,4.5,2010-11
Monthly,2010,12,40.7,-1.2,2010-12
Monthly,2011,1,54.5,3.1,2011-1
Monthly,2011,2,82,5.4,2011-2
Monthly,2011,3,20.5,6,2011-3
Monthly,2011,4,10.3,10.7,2011-4
Monthly,2011,5,48.5,11.5,2011-5
Monthly,2011,6,62.9,13.5,2011-6
Monthly,2011,7,71.7,14.4,2011-7
Monthly,2011,8,94.1,14.6,2011-8
Monthly,2011,9,43.2,14.3,2011-9
Monthly,2011,10,62.1,11.4,2011-10
Monthly,2011,11,35.6,8.5,2011-11
Monthly,2011,12,76.2,4.5,2011-12
Monthly,2012,1,47.2,4.3,2012-1
Monthly,2012,2,24.2,3.9,2012-2
Monthly,2012,3,21.9,7.8,2012-3
Monthly,2012,4,140.9,6.4,2012-4
Monthly,2012,5,62.3,10.3,2012-5
Monthly,2012,6,141.5,12.5,2012-6
Monthly,2012,7,96.3,14.6,2012-7
Monthly,2012,8,87.6,15.7,2012-8
Monthly,2012,9,95.3,12.5,2012-9
Monthly,2012,10,86.4,8.2,2012-10
Monthly,2012,11,111.8,5.8,2012-11
Monthly,2012,12,127.7,3.6,2012-12
Monthly,2013,1,69.8,2.8,2013-1
Monthly,2013,2,34.3,2.6,2013-2
Monthly,2013,3,60.1,1.9,2013-3
Monthly,2013,4,22.1,6.8,2013-4
Monthly,2013,5,76.4,9.9,2013-5
Monthly,2013,6,40.8,12.9,2013-6
Monthly,2013,7,55.9,17.3,2013-7
Monthly,2013,8,61.2,16.2,2013-8
Monthly,2013,9,44.1,12.9,2013-9
Monthly,2013,10,111.5,11.6,2013-10
Monthly,2013,11,52.5,5.3,2013-11
Monthly,2013,12,76.7,5.4,2013-12
Monthly,2014,1,118.5,4.5,2014-1
Monthly,2014,2,81.8,5.3,2014-2
Monthly,2014,3,44.2,6.8,2014-3
Monthly,2014,4,42,9.3,2014-4
Monthly,2014,5,104.4,11.5,2014-5
Monthly,2014,6,45.5,14.3,2014-6
Monthly,2014,7,54.7,16.7,2014-7
Monthly,2014,8,96.2,14.4,2014-8
Monthly,2014,9,18.2,13.9,2014-9
Monthly,2014,10,83,11.3,2014-10
Monthly,2014,11,81.6,7.6,2014-11
Monthly,2014,12,61.1,4.4,2014-12
Monthly,2015,1,62.7,3.5,2015-1
Monthly,2015,2,37,3.5,2015-2
Monthly,2015,3,45.6,5.6,2015-3
Monthly,2015,4,25.6,8,2015-4
Monthly,2015,5,82.5,10,2015-5
Monthly,2015,6,34.9,12.9,2015-6
Monthly,2015,7,85.3,14.9,2015-7
Monthly,2015,8,73.2,15.4,2015-8
Monthly,2015,9,39.1,12,2015-9
Monthly,2015,10,65,10.1,2015-10
Monthly,2015,11,116.6,8.1,2015-11
Monthly,2015,12,148,8,2015-12
Monthly,2016,1,121.7,4.4,2016-1
Monthly,2016,2,53,3.9,2016-2
Monthly,2016,3,66.3,5.3,2016-3
Monthly,2016,4,70.3,6.4,2016-4
Monthly,2016,5,36.2,11,2016-5
Monthly,2016,6,76.5,13.5,2016-6
Monthly,2016,7,51.2,16,2016-7
Monthly,2016,8,73.2,16,2016-8
Monthly,2016,9,48.6,15.2,2016-9
Monthly,2016,10,50.1,10.2,2016-10
Monthly,2016,11,93.1,4.8,2016-11
Monthly,2016,12,37.9,5.6,2016-12
Monthly,2017,1,39.4,3.3,2017-1
Monthly,2017,2,65.9,5.3,2017-2
Monthly,2017,3,63.9,7.6,2017-3
Monthly,2017,4,19.4,8.2,2017-4
Monthly,2017,5,42.9,12.2,2017-5
Monthly,2017,6,116,15.1,2017-6
Monthly,2017,7,81.7,15.4,2017-7
Monthly,2017,8,64.4,15,2017-8
Monthly,2017,9,85,12.9,2017-9
Monthly,2017,10,50.1,11.6,2017-10
Monthly,2017,11,69.1,5.8,2017-11
Monthly,2017,12,56.8,3.8,2017-12
Monthly,2018,1,71.5,4.1,2018-1
Monthly,2018,2,46.7,2.1,2018-2
Monthly,2018,3,95.3,3.8,2018-3
Monthly,2018,4,78.2,8.6,2018-4
Monthly,2018,5,35.5,12.2,2018-5
Monthly,2018,6,26.6,14.6,2018-6
Monthly,2018,7,42.6,17.8,2018-7
Monthly,2018,8,57.7,16.2,2018-8
Monthly,2018,9,58.6,13,2018-9
Monthly,2018,10,66.3,10,2018-10
Monthly,2018,11,71.6,7.4,2018-11
Monthly,2018,12,71,5.4,2018-12
Monthly,2019,1,22.8,3.4,2019-1
Monthly,2019,2,36.2,6,2019-2
Monthly,2019,3,82.2,7,2019-3
Monthly,2019,4,27.7,7.8,2019-4
Monthly,2019,5,52.1,10.3,2019-5
Monthly,2019,6,114.3,13.4,2019-6
Monthly,2019,7,75.6,17,2019-7
Monthly,2019,8,89.1,16.5,2019-8
Monthly,2019,9,104.9,13.4,2019-9
Monthly,2019,10,115.4,8.8,2019-10
Monthly,2019,11,124,5.6,2019-11
Monthly,2019,12,61.4,4.9,2019-12
